Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,"('Standard', 'Gls')","('Standard', 'Sh')","('Standard', 'SoT')","('Standard', 'SoT%')","('Standard', 'G/Sh')","('Standard', 'G/SoT')","('Standard', 'Dist')","('Standard', 'FK')","('Standard', 'PK')","('Standard', 'PKatt')","('Expected', 'xG')","('Expected', 'npxG')","('Expected', 'npxG/Sh')","('Expected', 'G-xG')","('Expected', 'np:G-xG')","('Unnamed: 24_level_0', 'Match Report')","('Performance', 'SoTA')","('Performance', 'GA')","('Performance', 'Saves')","('Performance', 'Save%')","('Performance', 'CS')","('Performance', 'PSxG')","('Performance', 'PSxG+/-')","('Penalty Kicks', 'PKatt')","('Penalty Kicks', 'PKA')","('Penalty Kicks', 'PKsv')","('Penalty Kicks', 'PKm')","('Launched', 'Cmp')","('Launched', 'Att')","('Launched', 'Cmp%')","('Passes', 'Att (GK)')","('Passes', 'Thr')","('Passes', 'Launch%')","('Passes', 'AvgLen')","('Goal Kicks', 'Att')","('Goal Kicks', 'Launch%')","('Goal Kicks', 'AvgLen')","('Crosses', 'Opp')","('Crosses', 'Stp')","('Crosses', 'Stp%')","('Sweeper', '#OPA')","('Sweeper', 'AvgDist')","('Unnamed: 35_level_0', 'Match Report')","('Total', 'Cmp')","('Total', 'Att')","('Total', 'Cmp%')","('Total', 'TotDist')","('Total', 'PrgDist')","('Short', 'Cmp')","('Short', 'Att')","('Short', 'Cmp%')","('Medium', 'Cmp')","('Medium', 'Att')","('Medium', 'Cmp%')","('Long', 'Cmp')","('Long', 'Att')","('Long', 'Cmp%')","('Unnamed: 23_level_0', 'Ast')","('Unnamed: 24_level_0', 'xAG')","('Unnamed: 25_level_0', 'xA')","('Unnamed: 26_level_0', 'KP')","('Unnamed: 27_level_0', '1/3')","('Unnamed: 28_level_0', 'PPA')","('Unnamed: 29_level_0', 'CrsPA')","('Unnamed: 30_level_0', 'PrgP')","('Unnamed: 31_level_0', 'Match Report')","('SCA Types', 'SCA')","('SCA Types', 'PassLive')","('SCA Types', 'PassDead')","('SCA Types', 'TO')","('SCA Types', 'Sh')","('SCA Types', 'Fld')","('SCA Types', 'Def')","('GCA Types', 'GCA')","('GCA Types', 'PassLive')","('GCA Types', 'PassDead')","('GCA Types', 'TO')","('GCA Types', 'Sh')","('GCA Types', 'Fld')","('GCA Types', 'Def')","('Unnamed: 23_level_0', 'Match Report')","('Tackles', 'Tkl')","('Tackles', 'TklW')","('Tackles', 'Def 3rd')","('Tackles', 'Mid 3rd')","('Tackles', 'Att 3rd')","('Challenges', 'Tkl')","('Challenges', 'Att')","('Challenges', 'Tkl%')","('Challenges', 'Lost')","('Blocks', 'Blocks')","('Blocks', 'Sh')","('Blocks', 'Pass')","('Unnamed: 21_level_0', 'Int')","('Unnamed: 22_level_0', 'Tkl+Int')","('Unnamed: 23_level_0', 'Clr')","('Unnamed: 24_level_0', 'Err')","('Unnamed: 25_level_0', 'Match Report')","('For Arsenal', 'Poss')","('Touches', 'Touches')","('Touches', 'Def Pen')","('Touches', 'Def 3rd')","('Touches', 'Mid 3rd')","('Touches', 'Att 3rd')","('Touches', 'Att Pen')","('Touches', 'Live')","('Take-Ons', 'Att')","('Take-Ons', 'Succ')","('Take-Ons', 'Succ%')","('Take-Ons', 'Tkld')","('Take-Ons', 'Tkld%')","('Carries', 'Carries')","('Carries', 'TotDist')","('Carries', 'PrgDist')","('Carries', 'PrgC')","('Carries', '1/3')","('Carries', 'CPA')","('Carries', 'Mis')","('Carries', 'Dis')","('Receiving', 'Rec')","('Receiving', 'PrgR')","('Unnamed: 32_level_0', 'Match Report')","('Performance', 'CrdY')","('Performance', 'CrdR')","('Performance', '2CrdY')","('Performance', 'Fls')","('Performance', 'Fld')","('Performance', 'Off')","('Performance', 'Crs')","('Performance', 'Int')","('Performance', 'TklW')","('Performance', 'PKwon')","('Performance', 'PKcon')","('Performance', 'OG')","('Performance', 'Recov')","('Aerial Duels', 'Won')","('Aerial Duels', 'Lost')","('Aerial Duels', 'Won%')","('Unnamed: 25_level_0', 'Match Report').1"
2025-09-13,12:30,Matchweek 4,Sat,Home,W,3.0,0.0,Nott'ham Forest,1.8,0.2,54.0,60167.0,Martin Ødegaard,4-3-3,4-2-3-1,Darren England,Match Report,,3.0,16.0,5.0,31.3,0.19,0.6,13.5,0.0,0.0,0.0,1.8,1.8,0.11,1.2,1.2,Match Report,1.0,0.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,3.0,6.0,50.0,32.0,5.0,18.8,26.1,6.0,0.0,9.7,9.0,0.0,0.0,2.0,23.3,Match Report,434.0,517.0,83.9,7834.0,2592.0,172.0,191.0,90.1,221.0,243.0,90.9,33.0,57.0,57.9,2.0,1.5,1.7,12.0,35.0,8.0,0.0,50.0,Match Report,28.0,20.0,3.0,2.0,2.0,1.0,0.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,Match Report,13.0,11.0,3.0,5.0,5.0,7.0,12.0,58.3,5.0,10.0,3.0,7.0,7.0,20.0,16.0,0.0,Match Report,54.0,615.0,52.0,175.0,267.0,178.0,37.0,615.0,24.0,11.0,45.8,10.0,41.7,367.0,2262.0,1366.0,26.0,13.0,7.0,11.0,2.0,420.0,48.0,Match Report,1.0,0.0,0.0,8.0,11.0,2.0,20.0,7.0,11.0,0.0,0.0,0.0,39.0,9.0,8.0,52.9,Match Report
2025-08-31,16:30,Matchweek 3,Sun,Away,L,0.0,1.0,Liverpool,0.5,0.5,47.0,60455.0,Gabriel Magalhães,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,0.0,11.0,1.0,9.1,0.0,0.0,17.5,1.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,Match Report,3.0,1.0,2.0,66.7,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,12.0,26.0,46.2,49.0,7.0,49.0,40.3,5.0,40.0,32.4,6.0,2.0,33.3,2.0,17.6,Match Report,327.0,411.0,79.6,5988.0,2054.0,153.0,176.0,86.9,134.0,148.0,90.5,35.0,71.0,49.3,0.0,0.3,0.4,5.0,23.0,3.0,0.0,28.0,Match Report,16.0,9.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,14.0,6.0,5.0,5.0,4.0,7.0,14.0,50.0,7.0,10.0,4.0,6.0,9.0,23.0,20.0,1.0,Match Report,47.0,512.0,67.0,163.0,225.0,134.0,27.0,512.0,9.0,3.0,33.3,5.0,55.6,326.0,1882.0,967.0,20.0,16.0,6.0,19.0,6.0,322.0,27.0,Match Report,2.0,0.0,0.0,10.0,7.0,0.0,17.0,9.0,6.0,0.0,0.0,0.0,34.0,8.0,10.0,44.4,Match Report
2025-08-23,17:30,Matchweek 2,Sat,Home,W,5.0,0.0,Leeds United,2.7,0.2,67.0,60110.0,Martin Ødegaard,4-3-3,4-3-3,Jarred Gillett,Match Report,,5.0,17.0,4.0,23.5,0.24,1.0,15.2,0.0,1.0,1.0,2.7,1.9,0.12,2.3,2.1,Match Report,1.0,0.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,4.0,7.0,57.1,32.0,1.0,21.9,28.8,2.0,0.0,9.0,3.0,1.0,33.3,0.0,3.5,Match Report,582.0,647.0,90.0,10575.0,2813.0,237.0,254.0,93.3,286.0,311.0,92.0,53.0,69.0,76.8,4.0,1.3,0.9,12.0,36.0,9.0,3.0,43.0,Match Report,31.0,18.0,3.0,3.0,4.0,3.0,0.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,Match Report,12.0,8.0,5.0,4.0,3.0,7.0,11.0,63.6,4.0,15.0,2.0,13.0,5.0,17.0,7.0,0.0,Match Report,67.0,750.0,46.0,209.0,383.0,166.0,31.0,749.0,26.0,12.0,46.2,12.0,46.2,452.0,2560.0,1260.0,30.0,11.0,8.0,12.0,6.0,573.0,42.0,Match Report,0.0,0.0,0.0,8.0,11.0,0.0,19.0,5.0,8.0,1.0,0.0,0.0,36.0,12.0,4.0,75.0,Match Report
2025-08-17,16:30,Matchweek 1,Sun,Away,W,1.0,0.0,Manchester Utd,1.3,1.5,39.0,73475.0,Martin Ødegaard,4-3-3,3-4-3,Simon Hooper,Match Report,,1.0,9.0,3.0,33.3,0.11,0.33,18.6,1.0,0.0,0.0,1.3,1.3,0.15,-0.3,-0.3,Match Report,7.0,0.0,7.0,100.0,1.0,0.7,0.7,0.0,0.0,0.0,0.0,5.0,20.0,25.0,28.0,9.0,39.3,34.4,9.0,100.0,64.8,11.0,2.0,18.2,0.0,9.2,Match Report,239.0,331.0,72.2,4153.0,1845.0,115.0,135.0,85.2,97.0,123.0,78.9,24.0,57.0,42.1,0.0,0.3,0.5,5.0,14.0,5.0,0.0,24.0,Match Report,14.0,8.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,Match Report,18.0,10.0,11.0,6.0,1.0,4.0,13.0,30.8,9.0,12.0,8.0,4.0,4.0,22.0,29.0,0.0,Match Report,39.0,464.0,82.0,170.0,190.0,111.0,19.0,464.0,28.0,9.0,32.1,16.0,57.1,232.0,1259.0,619.0,12.0,12.0,3.0,15.0,6.0,236.0,24.0,Match Report,4.0,0.0,0.0,19.0,10.0,2.0,11.0,4.0,10.0,0.0,0.0,0.0,39.0,16.0,20.0,44.4,Match Report
2025-05-25,16:00,Matchweek 38,Sun,Away,W,2.0,1.0,Southampton,2.3,0.6,62.0,31289.0,Declan Rice,4-2-3-1,5-4-1,Darren Bond,Match Report,,2.0,23.0,7.0,30.4,0.09,0.29,15.9,0.0,0.0,0.0,2.3,2.3,0.1,-0.3,-0.3,Match Report,2.0,1.0,1.0,50.0,0.0,0.8,-0.2,0.0,0.0,0.0,0.0,1.0,4.0,25.0,16.0,4.0,25.0,30.6,1.0,0.0,8.0,8.0,2.0,25.0,1.0,16.4,Match Report,509.0,581.0,87.6,7757.0,2017.0,273.0,293.0,93.2,199.0,220.0,90.5,21.0,39.0,53.8,2.0,2.1,2.2,20.0,55.0,15.0,5.0,62.0,Match Report,43.0,31.0,2.0,5.0,5.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,18.0,4.0,2.0,8.0,8.0,7.0,21.0,33.3,14.0,9.0,3.0,6.0,2.0,20.0,25.0,1.0,Match Report,62.0,693.0,39.0,104.0,255.0,337.0,34.0,693.0,20.0,10.0,50.0,7.0,35.0,418.0,2136.0,1069.0,22.0,21.0,5.0,9.0,11.0,502.0,62.0,Match Report,0.0,0.0,0.0,8.0,7.0,1.0,29.0,2.0,4.0,0.0,0.0,0.0,38.0,14.0,13.0,51.9,Match Report
2025-05-18,16:30,Matchweek 37,Sun,Home,W,1.0,0.0,Newcastle Utd,0.6,1.5,51.0,60160.0,Martin Ødegaard,4-3-3,3-4-3,Simon Hooper,Match Report,,1.0,12.0,4.0,33.3,0.08,0.25,18.1,0.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,Match Report,5.0,0.0,5.0,100.0,1.0,1.4,1.4,0.0,0.0,0.0,0.0,6.0,21.0,28.6,31.0,6.0,58.1,42.2,3.0,100.0,64.7,18.0,3.0,16.7,2.0,15.1,Match Report,363.0,447.0,81.2,5912.0,1974.0,191.0,212.0,90.1,144.0,161.0,89.4,21.0,54.0,38.9,1.0,0.6,0.6,12.0,35.0,8.0,2.0,26.0,Match Report,23.0,18.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,17.0,9.0,10.0,4.0,3.0,7.0,11.0,63.6,4.0,11.0,5.0,6.0,6.0,23.0,34.0,4.0,Match Report,51.0,574.0,72.0,174.0,217.0,185.0,31.0,574.0,16.0,8.0,50.0,7.0,43.8,371.0,2159.0,1047.0,24.0,21.0,10.0,16.0,13.0,353.0,26.0,Match Report,3.0,0.0,0.0,9.0,9.0,0.0,15.0,6.0,9.0,0.0,0.0,0.0,47.0,15.0,18.0,45.5,Match Report
2025-05-11,16:30,Matchweek 36,Sun,Away,D,2.0,2.0,Liverpool,2.6,2.4,55.0,60324.0,Martin Ødegaard,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,2.0,15.0,6.0,40.0,0.13,0.33,15.5,0.0,0.0,0.0,2.6,2.6,0.17,-0.6,-0.6,Match Report,5.0,2.0,3.0,60.0,0.0,2.7,0.7,0.0,0.0,0.0,0.0,6.0,23.0,26.1,41.0,7.0,36.6,33.3,13.0,61.5,42.2,8.0,1.0,12.5,2.0,17.8,Match Report,402.0,478.0,84.1,6422.0,2192.0,208.0,220.0,94.5,153.0,173.0,88.4,26.0,54.0,48.1,1.0,1.3,1.0,11.0,29.0,12.0,2.0,43.0,Match Report,25.0,17.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,20.0,12.0,7.0,6.0,7.0,10.0,12.0,83.3,2.0,7.0,1.0,6.0,5.0,25.0,18.0,1.0,Match Report,55.0,582.0,64.0,183.0,230.0,175.0,32.0,582.0,17.0,8.0,47.1,7.0,41.2,391.0,2040.0,1213.0,29.0,15.0,4.0,15.0,9.0,397.0,42.0,Match Report,3.0,1.0,1.0,10.0,13.0,1.0,14.0,5.0,12.0,0.0,0.0,0.0,38.0,4.0,8.0,33.3,Match Report
2025-05-03,17:30,Matchweek 35,Sat,Home,L,1.0,2.0,Bournemouth,1.4,0.9,51.0,60110.0,Martin Ødegaard,4-3-3,4-2-3-1,Jarred Gillett,Match Report,,1.0,13.0,4.0,30.8,0.08,0.25,14.1,1.0,0.0,0.0,1.4,1.4,0.11,-0.4,-0.4,Match Report,2.0,2.0,0.0,0.0,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,6.0,17.0,35.3,44.0,5.0,34.1,29.7,7.0,28.6,26.6,12.0,0.0,0.0,1.0,39.0,Match Report,380.0,457.0,83.2,6020.0,2099.0,195.0,211.0,92.4,158.0,179.0,88.3,16.0,41.0,39.0,1.0,0.9,1.1,8.0,25.0,9.0,0.0,40.0,Match Report,23.0,19.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,12.0,9.0,6.0,4.0,2.0,6.0,13.0,46.2,7.0,11.0,2.0,9.0,8.0,20.0,16.0,1.0,Match Report,51.0,554.0,49.0,182.0,243.0,136.0,28.0,554.0,19.0,10.0,52.6,8.0,42.1,332.0,1835.0,1005.0,22.0,13.0,8.0,18.0,4.0,378.0,39.0,Match Report,0.0,0.0,0.0,7.0,16.0,3.0,8.0,8.0,9.0,0.0,0.0,0.0,36.0,9.0,9.0,50.0,Match Report
2025-04-23,20:00,Matchweek 34,Wed,Home,D,2.0,2.0,Crystal Palace,1.2,1.7,67.0,60167.0,Martin Ødegaard,4-3-3,3-4-3,Michael Salisbury,Match Report,,2.0,12.0,4.0,33.3,0.17,0.5,15.0,0.0,0.0,0.0,1.2,1.2,0.1,0.8,0.8,Match Report,4.0,2.0,2.0,50.0,0.0,1.3,-0.7,0.0,0.0,0.0,0.0,2.0,5.0,40.0,36.0,9.0,13.9,22.4,8.0,0.0,15.4,13.0,1.0,7.7,1.0,11.8,Match Report,678.0,745.0,91.0,11485.0,2642.0,276.0,293.0,94.2,379.0,403.0,94.0,22.0,40.0,55.0,2.0,0.6,0.8,9.0,52.0,6.0,1.0,46.0,Match Report,21.0,14.0,3.0,0.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,Match Report,7.0,5.0,2.0,4.0,1.0,3.0,10.0,30.0,7.0,11.0,5.0,6.0,8.0,15.0,19.0,3.0,Match Report,67.0,834.0,52.0,200.0,480.0,157.0,23.0,834.0,11.0,4.0,36.4,5.0,45.5,544.0,2963.0,1684.0,16.0,17.0,4.0,12.0,11.0,678.0,46.0,Match Report,1.0,0.0,0.0,4.0,6.0,1.0,14.0,8.0,5.0,0.0,0.0,0.0,33.0,1.0,9.0,10.0,Match Report
2025-04-20,14:00,Matchweek 33,Sun,Away,W,4.0,0.0,Ipswich Town,2.4,0.2,75.0,29549.0,Martin Ødegaard,4-3-3,4-4-1-1,Chris Kavanagh,Match Report,,4.0,24.0,7.0,29.2,0.17,0.57,15.2,1.0,0.0,0.0,2.4,2.4,0.11,1.6,1.6,Match Report,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,1.0,3.0,20.6,3.0,0.0,13.0,3.0,0.0,0.0,5.0,25.3,Match Report,707.0,790.0,89.5,11341.0,3017.0,367.0,384.0,95.6,286.0,319.0,89.7,42.0,60.0,70.0,4.0,1.9,2.2,20.0,50.0,29.0,2.0,79.0,Match Report,42.0,37.0,3.0,0.0,1.0,1.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,Match Report,16.0,12.0,3.0,7.0,6.0,8.0,13.0,61.5,5.0,5.0,2.0,3.0,2.0,18.0,7.0,0.0,Match Report,75.0,870.0,33.0,142.0,315.0,416.0,68.0,870.0,8.0,2.0,25.0,5.0,62.5,583.0,2766.0,1517.0,34.0,21.0,16.0,9.0,10.0,703.0,79.0,Match Report,0.0,0.0,0.0,7.0,10.0,1.0,16.0,2.0,12.0,0.0,0.0,0.0,41.0,10.0,8.0,55.6,Match Report
